[1, 1, 1, -2, 1, 2, -8];[3, 3, 4, -2, -8, -10, -15]
[1, 1, -2, 1, 1, 2, -8];[3, 3, -2, 4, -8, -10, -15]
[1, 1, 1, 1, -1, -4, -14];[3, 3, 4, 5, 14, 5, -15]
[1, 1, -2, 1, 1, -4, 6];[3, 3, -2, 5, -12, 5, 10]
[1, 1, 1, 2, -1, 6, 7];[3, 3, 4, 3, 16, -7, 48]
[1, 1, 1, -2, 1, 3, -4];[3, 3, 4, -3, -15, -14, -35]
[1, 1, 1, -1, 1, -4, 5];[3, 3, 4, -6, -15, 5, 6]
[1, 1, 1, 2, -1, 6, 25];[3, 3, 4, 3, 13, -25, 156]
[1, 1, -2, 1, 1, 6, -14];[3, 3, -2, 7, -14, 10, 15]
[1, 1, 1, -1, 1, 4, -29];[3, 3, 4, -8, -20, 29, 120]
[1, 1, 1, -1, 1, 4, -9];[3, 3, 4, -8, -15, 9, 40]
[1, 1, 2, -2, 1, 4, -10];[3, 3, 2, -4, -15, 14, -14]
[1, 1, 1, 3, -4, -3, -13];[3, 3, 4, 3, 13, 30, -30]
[1, 1, 1, 3, -3, -4, -15];[3, 3, 4, 3, 15, 33, -33]
[1, 1, 1, -3, 3, 3, 8];[3, 3, 4, -3, -15, -24, 15]
[1, 1, 2, 1, -3, -3, -10];[3, 3, 2, 10, 28, 28, -14]
[1, 1, 2, -2, 1, 6, -7];[3, 3, 2, -5, -42, 26, -195]
[1, 1, 2, -2, 1, 5, -6];[3, 3, 2, -5, -42, 33, -154]
[1, 1, 2, -1, 1, 4, 12];[3, 3, 2, -10, -22, 10, 22]
[1, 1, -2, 2, 1, 2, 12];[3, 3, -2, 5, -22, 20, 22]
[1, 1, 2, 1, 3, -1, -6];[3, 3, 2, 14, 12, 60, -210]
[1, 1, 2, 2, -6, -7, 10];[3, 3, 2, 7, -10, 51, -51]
[1, 1, 2, 3, 4, -2, -12];[3, 3, 2, 5, 8, 30, -40]
[1, 1, 1, 3, -5, -4, 7];[3, 3, 4, 5, -7, 33, -33]
[1, 1, 2, 3, -5, 4, -12];[3, 3, 2, 5, -7, -24, 56]
[1, 1, 1, 3, -4, -5, 11];[3, 3, 4, 5, -11, 48, -48]
[1, 1, 2, 3, -4, 16, 8];[3, 3, 2, 5, -12, -24, -80]
[1, 1, 1, 3, -6, -12, -12];[3, 3, 4, 5, -12, -26, 195]
